"Date","Close","% Change","% Change vs Average","Volume"
"2024-06-20T18:30:00.000Z","23,501.10","-0.28","-0.31","609,900"
"2024-06-23T18:30:00.000Z","23,537.85","0.16","0.13","239,400"
"2024-06-24T18:30:00.000Z","23,721.30","0.78","0.75","298,100"
"2024-06-25T18:30:00.000Z","23,868.80","0.62","0.59","287,800"
"2024-06-26T18:30:00.000Z","24,044.50","0.74","0.71","515,200"
"2024-06-27T18:30:00.000Z","24,010.60","-0.14","-0.17","354,800"
"2024-06-30T18:30:00.000Z","24,141.95","0.55","0.52","0"
"2024-07-01T18:30:00.000Z","24,123.85","-0.07","-0.11","0"
"2024-07-02T18:30:00.000Z","24,286.50","0.67","0.64","0"
"2024-07-03T18:30:00.000Z","24,302.15","0.06","0.03","251,200"
"2024-07-04T18:30:00.000Z","24,323.85","0.09","0.06","298,400"
"2024-07-07T18:30:00.000Z","24,320.55","-0.01","-0.04","266,300"
"2024-07-08T18:30:00.000Z","24,433.20","0.46","0.43","250,500"
"2024-07-09T18:30:00.000Z","24,324.45","-0.45","-0.48","292,300"
"2024-07-10T18:30:00.000Z","24,315.95","-0.03","-0.07","306,400"
"2024-07-11T18:30:00.000Z","24,502.15","0.77","0.73","325,800"
"2024-07-14T18:30:00.000Z","24,586.70","0.35","0.31","305,400"
"2024-07-15T18:30:00.000Z","24,613.00","0.11","0.08","283,200"
"2024-07-17T18:30:00.000Z","24,800.85","0.76","0.73","350,900"
"2024-07-18T18:30:00.000Z","24,530.90","-1.09","-1.12","343,800"
"2024-07-21T18:30:00.000Z","24,509.25","-0.09","-0.12","324,200"
"2024-07-22T18:30:00.000Z","24,479.05","-0.12","-0.15","436,400"
"2024-07-23T18:30:00.000Z","24,413.50","-0.27","-0.30","366,600"
"2024-07-24T18:30:00.000Z","24,406.10","-0.03","-0.06","391,800"
"2024-07-25T18:30:00.000Z","24,834.85","1.76","1.73","383,800"
"2024-07-28T18:30:00.000Z","24,836.10","0.01","-0.03","355,000"
"2024-07-29T18:30:00.000Z","24,857.30","0.09","0.05","385,000"
"2024-07-30T18:30:00.000Z","24,951.15","0.38","0.35","333,600"
"2024-07-31T18:30:00.000Z","25,010.90","0.24","0.21","431,300"
"2024-08-01T18:30:00.000Z","24,717.70","-1.17","-1.20","345,000"
"2024-08-04T18:30:00.000Z","24,055.60","-2.68","-2.71","487,000"
"2024-08-05T18:30:00.000Z","23,992.55","-0.26","-0.29","312,300"
"2024-08-06T18:30:00.000Z","24,297.50","1.27","1.24","317,600"
"2024-08-07T18:30:00.000Z","24,117.00","-0.74","-0.77","311,900"
"2024-08-08T18:30:00.000Z","24,367.50","1.04","1.01","215,100"
"2024-08-11T18:30:00.000Z","24,347.00","-0.08","-0.12","279,900"
"2024-08-12T18:30:00.000Z","24,139.00","-0.85","-0.89","239,700"
"2024-08-13T18:30:00.000Z","24,143.75","0.02","-0.01","303,300"
"2024-08-15T18:30:00.000Z","24,541.15","1.65","1.61","271,600"
"2024-08-18T18:30:00.000Z","24,572.65","0.13","0.10","243,600"
"2024-08-19T18:30:00.000Z","24,698.85","0.51","0.48","238,300"
"2024-08-20T18:30:00.000Z","24,770.20","0.29","0.26","257,100"
"2024-08-21T18:30:00.000Z","24,811.50","0.17","0.14","220,300"
"2024-08-22T18:30:00.000Z","24,823.15","0.05","0.02","206,800"
"2024-08-25T18:30:00.000Z","25,010.60","0.76","0.72","210,300"
"2024-08-26T18:30:00.000Z","25,017.75","0.03","0","223,300"
"2024-08-27T18:30:00.000Z","25,052.35","0.14","0.11","220,400"
"2024-08-28T18:30:00.000Z","25,151.95","0.40","0.37","354,000"
"2024-08-29T18:30:00.000Z","25,235.90","0.33","0.30","638,200"
"2024-09-01T18:30:00.000Z","25,278.70","0.17","0.14","222,800"
"2024-09-02T18:30:00.000Z","25,279.85","0","-0.03","212,100"
"2024-09-03T18:30:00.000Z","25,198.70","-0.32","-0.35","253,800"
"2024-09-04T18:30:00.000Z","25,145.10","-0.21","-0.24","222,200"
"2024-09-05T18:30:00.000Z","24,852.15","-1.17","-1.20","311,700"
"2024-09-08T18:30:00.000Z","24,936.40","0.34","0.31","254,400"
"2024-09-09T18:30:00.000Z","25,041.10","0.42","0.39","251,300"
"2024-09-10T18:30:00.000Z","24,918.45","-0.49","-0.52","279,200"
"2024-09-11T18:30:00.000Z","25,388.90","1.89","1.86","380,100"
"2024-09-12T18:30:00.000Z","25,356.50","-0.13","-0.16","250,800"
"2024-09-15T18:30:00.000Z","25,383.75","0.11","0.08","168,700"
"2024-09-16T18:30:00.000Z","25,418.55","0.14","0.11","216,000"
"2024-09-17T18:30:00.000Z","25,377.55","-0.16","-0.19","215,700"
"2024-09-18T18:30:00.000Z","25,415.80","0.15","0.12","314,500"
"2024-09-19T18:30:00.000Z","25,790.95","1.48","1.45","533,100"
"2024-09-22T18:30:00.000Z","25,939.05","0.57","0.54","209,200"
"2024-09-23T18:30:00.000Z","25,940.40","0.01","-0.03","384,100"
"2024-09-24T18:30:00.000Z","26,004.15","0.25","0.21","278,500"
"2024-09-25T18:30:00.000Z","26,216.05","0.81","0.78","370,900"
"2024-09-26T18:30:00.000Z","26,178.95","-0.14","-0.17","490,300"
"2024-09-29T18:30:00.000Z","25,810.85","-1.41","-1.44","343,100"
"2024-09-30T18:30:00.000Z","25,796.90","-0.05","-0.09","247,400"
"2024-10-02T18:30:00.000Z","25,250.10","-2.12","-2.15","423,400"
"2024-10-03T18:30:00.000Z","25,014.60","-0.93","-0.96","374,900"
"2024-10-06T18:30:00.000Z","24,795.75","-0.87","-0.91","374,300"
"2024-10-07T18:30:00.000Z","25,013.15","0.88","0.85","333,200"
"2024-10-08T18:30:00.000Z","24,981.95","-0.12","-0.16","290,600"
"2024-10-09T18:30:00.000Z","24,998.45","0.07","0.04","261,400"
"2024-10-10T18:30:00.000Z","24,964.25","-0.14","-0.17","210,500"
"2024-10-13T18:30:00.000Z","25,127.95","0.66","0.62","206,400"
"2024-10-14T18:30:00.000Z","25,057.35","-0.28","-0.31","257,200"
"2024-10-15T18:30:00.000Z","24,971.30","-0.34","-0.37","226,800"
"2024-10-16T18:30:00.000Z","24,749.85","-0.89","-0.92","252,800"
"2024-10-17T18:30:00.000Z","24,854.05","0.42","0.39","290,900"
"2024-10-20T18:30:00.000Z","24,781.10","-0.29","-0.32","242,000"
"2024-10-21T18:30:00.000Z","24,472.10","-1.25","-1.28","279,500"
"2024-10-22T18:30:00.000Z","24,435.50","-0.15","-0.18","284,600"
"2024-10-23T18:30:00.000Z","24,399.40","-0.15","-0.18","216,700"
"2024-10-24T18:30:00.000Z","24,180.80","-0.90","-0.93","372,600"
"2024-10-27T18:30:00.000Z","24,339.15","0.65","0.62","278,600"
"2024-10-28T18:30:00.000Z","24,466.85","0.52","0.49","332,000"
"2024-10-29T18:30:00.000Z","24,340.85","-0.51","-0.55","285,200"
"2024-10-30T18:30:00.000Z","24,205.35","-0.56","-0.59","287,000"
"2024-10-31T18:30:00.000Z","24,304.35","0.41","0.38","38,800"
