Date,Close,% Change,% Change vs Average,Volume
2021-07-06T18:30:00.000Z,"15,879.65",0.39,0.29,"329,300"
2021-07-07T18:30:00.000Z,"15,727.90",-0.96,-1.05,"307,900"
2021-07-08T18:30:00.000Z,"15,689.80",-0.24,-0.34,"243,200"
2021-07-11T18:30:00.000Z,"15,692.60",0.02,-0.08,"216,300"
2021-07-12T18:30:00.000Z,"15,812.35",0.76,0.67,"246,700"
2021-07-13T18:30:00.000Z,"15,853.95",0.26,0.17,0
2021-07-14T18:30:00.000Z,"15,924.20",0.44,0.35,"284,900"
2021-07-15T18:30:00.000Z,"15,923.40",-0.01,-0.1,"276,300"
2021-07-18T18:30:00.000Z,"15,752.40",-1.07,-1.17,"242,100"
2021-07-19T18:30:00.000Z,"15,632.10",-0.76,-0.86,"274,300"
2021-07-21T18:30:00.000Z,"15,824.05",1.23,1.13,"265,300"
2021-07-22T18:30:00.000Z,"15,856.05",0.2,0.1,"294,100"
2021-07-25T18:30:00.000Z,"15,824.45",-0.2,-0.3,"267,100"
2021-07-26T18:30:00.000Z,"15,746.45",-0.49,-0.59,"311,000"
2021-07-27T18:30:00.000Z,"15,709.40",-0.24,-0.33,"318,600"
2021-07-28T18:30:00.000Z,"15,778.45",0.44,0.34,"401,600"
2021-07-29T18:30:00.000Z,"15,763.05",-0.1,-0.2,"400,000"
2021-08-01T18:30:00.000Z,"15,885.15",0.77,0.68,"244,800"
2021-08-02T18:30:00.000Z,"16,130.75",1.55,1.45,"341,300"
2021-08-03T18:30:00.000Z,"16,258.80",0.79,0.7,"427,300"
2021-08-04T18:30:00.000Z,"16,294.60",0.22,0.12,"418,200"
2021-08-05T18:30:00.000Z,"16,238.20",-0.35,-0.44,"320,100"
2021-08-08T18:30:00.000Z,"16,258.25",0.12,0.03,"240,500"
2021-08-09T18:30:00.000Z,"16,280.10",0.13,0.04,"288,000"
2021-08-10T18:30:00.000Z,"16,282.25",0.01,-0.08,"277,900"
2021-08-11T18:30:00.000Z,"16,364.40",0.5,0.41,"280,200"
2021-08-12T18:30:00.000Z,"16,529.10",1.01,0.91,"321,900"
2021-08-15T18:30:00.000Z,"16,563.05",0.21,0.11,"254,000"
2021-08-16T18:30:00.000Z,"16,614.60",0.31,0.21,"297,400"
2021-08-17T18:30:00.000Z,"16,568.85",-0.28,-0.37,"251,800"
2021-08-19T18:30:00.000Z,"16,450.50",-0.71,-0.81,"350,800"
2021-08-22T18:30:00.000Z,"16,496.45",0.28,0.18,"275,600"
2021-08-23T18:30:00.000Z,"16,624.60",0.78,0.68,"275,400"
2021-08-24T18:30:00.000Z,"16,634.65",0.06,-0.04,"265,900"
2021-08-25T18:30:00.000Z,"16,636.90",0.01,-0.08,"253,500"
2021-08-26T18:30:00.000Z,"16,705.20",0.41,0.31,"217,400"
2021-08-29T18:30:00.000Z,"16,931.05",1.35,1.25,"283,500"
2021-08-30T18:30:00.000Z,"17,132.20",1.19,1.09,"464,400"
2021-08-31T18:30:00.000Z,"17,076.25",-0.33,-0.42,"301,900"
2021-09-01T18:30:00.000Z,"17,234.15",0.92,0.83,"242,400"
2021-09-02T18:30:00.000Z,"17,323.60",0.52,0.42,"261,400"
2021-09-05T18:30:00.000Z,"17,377.80",0.31,0.21,"228,000"
2021-09-06T18:30:00.000Z,"17,362.10",-0.09,-0.19,"243,400"
2021-09-07T18:30:00.000Z,"17,353.50",-0.05,-0.15,"252,700"
2021-09-08T18:30:00.000Z,"17,369.25",0.09,-0.01,"241,500"
2021-09-12T18:30:00.000Z,"17,355.30",-0.08,-0.18,"241,100"
2021-09-13T18:30:00.000Z,"17,380.00",0.14,0.04,"230,400"
2021-09-14T18:30:00.000Z,"17,519.45",0.8,0.7,"388,200"
2021-09-15T18:30:00.000Z,"17,629.50",0.63,0.53,"503,300"
2021-09-16T18:30:00.000Z,"17,585.15",-0.25,-0.35,"508,300"
2021-09-19T18:30:00.000Z,"17,396.90",-1.07,-1.17,"339,100"
2021-09-20T18:30:00.000Z,"17,562.00",0.95,0.85,"363,600"
2021-09-21T18:30:00.000Z,"17,546.65",-0.09,-0.19,"295,200"
2021-09-22T18:30:00.000Z,"17,822.95",1.57,1.48,"320,500"
2021-09-23T18:30:00.000Z,"17,853.20",0.17,0.07,"360,100"
2021-09-26T18:30:00.000Z,"17,855.10",0.01,-0.09,"295,700"
2021-09-27T18:30:00.000Z,"17,748.60",-0.6,-0.69,"398,000"
2021-09-28T18:30:00.000Z,"17,711.30",-0.21,-0.31,"562,200"
2021-09-29T18:30:00.000Z,"17,618.15",-0.53,-0.62,"378,600"
2021-09-30T18:30:00.000Z,"17,532.05",-0.49,-0.59,"305,800"
2021-10-03T18:30:00.000Z,"17,691.25",0.91,0.81,"295,800"
2021-10-04T18:30:00.000Z,"17,822.30",0.74,0.64,"427,000"
2021-10-05T18:30:00.000Z,"17,646.00",-0.99,-1.09,"395,800"
2021-10-06T18:30:00.000Z,"17,790.35",0.82,0.72,"419,900"
2021-10-07T18:30:00.000Z,"17,895.20",0.59,0.49,"324,100"
2021-10-10T18:30:00.000Z,"17,945.95",0.28,0.19,"375,800"
2021-10-11T18:30:00.000Z,"17,991.95",0.26,0.16,"355,600"
2021-10-12T18:30:00.000Z,"18,161.75",0.94,0.85,"506,700"
2021-10-13T18:30:00.000Z,"18,338.55",0.97,0.88,"538,700"
2021-10-17T18:30:00.000Z,"18,477.05",0.76,0.66,"469,900"
2021-10-18T18:30:00.000Z,"18,418.75",-0.32,-0.41,"368,200"
2021-10-19T18:30:00.000Z,"18,266.60",-0.83,-0.92,"371,300"
2021-10-20T18:30:00.000Z,"18,178.10",-0.48,-0.58,"365,900"
2021-10-21T18:30:00.000Z,"18,114.90",-0.35,-0.45,"324,700"
2021-10-24T18:30:00.000Z,"18,125.40",0.06,-0.04,"418,700"
2021-10-25T18:30:00.000Z,"18,268.40",0.79,0.69,"341,400"
2021-10-26T18:30:00.000Z,"18,210.95",-0.31,-0.41,"335,200"
2021-10-27T18:30:00.000Z,"17,857.25",-1.94,-2.04,"374,200"
2021-10-28T18:30:00.000Z,"17,671.65",-1.04,-1.14,"336,500"
2021-10-31T18:30:00.000Z,"17,929.65",1.46,1.36,"281,200"
2021-11-01T18:30:00.000Z,"17,888.95",-0.23,-0.32,"296,400"
2021-11-02T18:30:00.000Z,"17,829.20",-0.33,-0.43,"331,000"
2021-11-03T18:30:00.000Z,"17,916.80",0.49,0.39,"48,500"
2021-11-07T18:30:00.000Z,"18,068.55",0.85,0.75,"338,900"
2021-11-08T18:30:00.000Z,"18,044.25",-0.13,-0.23,"270,200"
2021-11-09T18:30:00.000Z,"18,017.20",-0.15,-0.25,"261,400"
2021-11-10T18:30:00.000Z,"17,873.60",-0.8,-0.89,"232,100"
2021-11-11T18:30:00.000Z,"18,102.75",1.28,1.18,"249,100"
2021-11-14T18:30:00.000Z,"18,109.45",0.04,-0.06,"280,400"
2021-11-15T18:30:00.000Z,"17,999.20",-0.61,-0.71,"267,400"
2021-11-16T18:30:00.000Z,"17,898.65",-0.56,-0.66,"295,700"
2021-11-17T18:30:00.000Z,"17,764.80",-0.75,-0.85,"278,400"
2021-11-21T18:30:00.000Z,"17,416.55",-1.96,-2.06,"356,400"
2021-11-22T18:30:00.000Z,"17,503.35",0.5,0.4,"308,800"
2021-11-23T18:30:00.000Z,"17,415.05",-0.5,-0.6,"298,100"
2021-11-24T18:30:00.000Z,"17,536.25",0.7,0.6,"255,900"
2021-11-25T18:30:00.000Z,"17,026.45",-2.91,-3.01,"356,300"
2021-11-28T18:30:00.000Z,"17,053.95",0.16,0.06,"348,900"
2021-11-29T18:30:00.000Z,"16,983.20",-0.41,-0.51,"498,000"
2021-11-30T18:30:00.000Z,"17,166.90",1.08,0.98,"295,500"
2021-12-01T18:30:00.000Z,"17,401.65",1.37,1.27,"279,900"
2021-12-02T18:30:00.000Z,"17,196.70",-1.18,-1.28,"292,500"
2021-12-05T18:30:00.000Z,"16,912.25",-1.65,-1.75,"231,700"
2021-12-06T18:30:00.000Z,"17,176.70",1.56,1.47,"254,100"
2021-12-07T18:30:00.000Z,"17,469.75",1.71,1.61,"257,800"
2021-12-08T18:30:00.000Z,"17,516.85",0.27,0.17,"237,200"
2021-12-09T18:30:00.000Z,"17,511.30",-0.03,-0.13,"204,500"
2021-12-12T18:30:00.000Z,"17,368.25",-0.82,-0.91,"256,600"
2021-12-13T18:30:00.000Z,"17,324.90",-0.25,-0.35,"271,000"
2021-12-14T18:30:00.000Z,"17,221.40",-0.6,-0.7,"215,000"
2021-12-15T18:30:00.000Z,"17,248.40",0.16,0.06,"219,500"
2021-12-16T18:30:00.000Z,"16,985.20",-1.53,-1.62,"354,600"
2021-12-19T18:30:00.000Z,"16,614.20",-2.18,-2.28,"330,600"
2021-12-20T18:30:00.000Z,"16,770.85",0.94,0.84,"241,000"
2021-12-21T18:30:00.000Z,"16,955.45",1.1,1.0,"207,900"
2021-12-22T18:30:00.000Z,"17,072.60",0.69,0.59,"197,000"
2021-12-23T18:30:00.000Z,"17,003.75",-0.4,-0.5,"182,600"
2021-12-26T18:30:00.000Z,"17,086.25",0.49,0.39,"144,800"
2021-12-27T18:30:00.000Z,"17,233.25",0.86,0.76,"176,000"
2021-12-28T18:30:00.000Z,"17,213.60",-0.11,-0.21,"161,700"
2021-12-29T18:30:00.000Z,"17,203.95",-0.06,-0.15,"320,800"
2021-12-30T18:30:00.000Z,"17,354.05",0.87,0.77,"167,000"
2022-01-02T18:30:00.000Z,"17,625.70",1.57,1.47,"200,500"
2022-01-02T18:30:00.000Z,"17,625.70",1.57,1.54,"200,500"
2022-01-03T18:30:00.000Z,"17,805.25",1.02,0.99,"247,400"
2022-01-04T18:30:00.000Z,"17,925.25",0.67,0.65,"251,500"
2022-01-05T18:30:00.000Z,"17,745.90",-1.0,-1.03,"236,500"
2022-01-06T18:30:00.000Z,"17,812.70",0.38,0.35,"239,300"
2022-01-09T18:30:00.000Z,"18,003.30",1.07,1.05,"232,400"
2022-01-10T18:30:00.000Z,"18,055.75",0.29,0.27,"220,200"
2022-01-11T18:30:00.000Z,"18,212.35",0.87,0.84,"245,000"
2022-01-12T18:30:00.000Z,"18,257.80",0.25,0.22,"303,700"
2022-01-13T18:30:00.000Z,"18,255.75",-0.01,-0.04,"229,500"
2022-01-16T18:30:00.000Z,"18,308.10",0.29,0.26,"266,700"
2022-01-17T18:30:00.000Z,"18,113.05",-1.07,-1.09,"227,500"
2022-01-18T18:30:00.000Z,"17,938.40",-0.96,-0.99,"276,700"
2022-01-19T18:30:00.000Z,"17,757.00",-1.01,-1.04,"258,100"
2022-01-20T18:30:00.000Z,"17,617.15",-0.79,-0.81,"277,600"
2022-01-23T18:30:00.000Z,"17,149.10",-2.66,-2.68,"323,800"
2022-01-24T18:30:00.000Z,"17,277.95",0.75,0.73,"326,500"
2022-01-26T18:30:00.000Z,"17,110.15",-0.97,-1.0,"395,600"
2022-01-27T18:30:00.000Z,"17,101.95",-0.05,-0.07,"355,300"
2022-01-30T18:30:00.000Z,"17,339.85",1.39,1.37,"321,700"
2022-01-31T18:30:00.000Z,"17,576.85",1.37,1.34,"386,400"
2022-02-01T18:30:00.000Z,"17,780.00",1.16,1.13,"271,200"
2022-02-02T18:30:00.000Z,"17,560.20",-1.24,-1.26,"226,600"
2022-02-03T18:30:00.000Z,"17,516.30",-0.25,-0.27,"261,400"
2022-02-06T18:30:00.000Z,"17,213.60",-1.73,-1.75,"265,000"
2022-02-07T18:30:00.000Z,"17,266.75",0.31,0.28,"268,500"
2022-02-08T18:30:00.000Z,"17,463.80",1.14,1.12,"236,400"
2022-02-09T18:30:00.000Z,"17,605.85",0.81,0.79,"273,600"
2022-02-10T18:30:00.000Z,"17,374.75",-1.31,-1.34,"253,100"
2022-02-13T18:30:00.000Z,"16,842.80",-3.06,-3.09,"305,500"
2022-02-14T18:30:00.000Z,"17,352.45",3.03,3.0,"298,700"
2022-02-15T18:30:00.000Z,"17,322.20",-0.17,-0.2,"244,500"
2022-02-16T18:30:00.000Z,"17,304.60",-0.1,-0.13,"232,100"
2022-02-17T18:30:00.000Z,"17,276.30",-0.16,-0.19,"189,600"
2022-02-20T18:30:00.000Z,"17,206.65",-0.4,-0.43,"215,200"
2022-02-21T18:30:00.000Z,"17,092.20",-0.67,-0.69,"300,100"
2022-02-22T18:30:00.000Z,"17,063.25",-0.17,-0.19,"200,200"
2022-02-23T18:30:00.000Z,"16,247.95",-4.78,-4.8,"458,000"
2022-02-24T18:30:00.000Z,"16,658.40",2.53,2.5,"329,800"
2022-02-27T18:30:00.000Z,"16,793.90",0.81,0.79,"404,200"
2022-03-01T18:30:00.000Z,"16,605.95",-1.12,-1.14,"517,700"
2022-03-02T18:30:00.000Z,"16,498.05",-0.65,-0.67,"442,100"
2022-03-03T18:30:00.000Z,"16,245.35",-1.53,-1.56,"456,100"
2022-03-06T18:30:00.000Z,"15,863.15",-2.35,-2.38,"585,400"
2022-03-07T18:30:00.000Z,"16,013.45",0.95,0.92,"543,600"
2022-03-08T18:30:00.000Z,"16,345.35",2.07,2.05,"462,200"
2022-03-09T18:30:00.000Z,"16,594.90",1.53,1.5,"486,400"
2022-03-10T18:30:00.000Z,"16,630.45",0.21,0.19,"343,700"
2022-03-13T18:30:00.000Z,"16,871.30",1.45,1.42,"314,700"
2022-03-14T18:30:00.000Z,"16,663.00",-1.23,-1.26,"381,600"
2022-03-15T18:30:00.000Z,"16,975.35",1.87,1.85,"260,000"
2022-03-16T18:30:00.000Z,"17,287.05",1.84,1.81,"448,300"
2022-03-20T18:30:00.000Z,"17,117.60",-0.98,-1.01,"285,500"
2022-03-21T18:30:00.000Z,"17,315.50",1.16,1.13,"338,300"
2022-03-22T18:30:00.000Z,"17,245.65",-0.4,-0.43,"292,100"
2022-03-23T18:30:00.000Z,"17,222.75",-0.13,-0.16,"290,300"
2022-03-24T18:30:00.000Z,"17,153.00",-0.4,-0.43,"237,100"
2022-03-27T18:30:00.000Z,"17,222.00",0.4,0.38,"253,200"
2022-03-28T18:30:00.000Z,"17,325.30",0.6,0.57,"235,100"
2022-03-29T18:30:00.000Z,"17,498.25",1.0,0.97,"505,000"
2022-03-30T18:30:00.000Z,"17,464.75",-0.19,-0.22,"281,100"
2022-03-31T18:30:00.000Z,"17,670.45",1.18,1.15,"291,800"
2022-04-03T18:30:00.000Z,"18,053.40",2.17,2.14,"345,500"
2022-04-04T18:30:00.000Z,"17,957.40",-0.53,-0.56,"283,500"
2022-04-05T18:30:00.000Z,"17,807.65",-0.83,-0.86,"328,800"
2022-04-06T18:30:00.000Z,"17,639.55",-0.94,-0.97,"308,800"
2022-04-07T18:30:00.000Z,"17,784.35",0.82,0.8,"274,400"
2022-04-10T18:30:00.000Z,"17,674.95",-0.62,-0.64,"251,700"
2022-04-11T18:30:00.000Z,"17,530.30",-0.82,-0.84,"266,000"
2022-04-12T18:30:00.000Z,"17,475.65",-0.31,-0.34,"245,100"
2022-04-17T18:30:00.000Z,"17,173.65",-1.73,-1.75,"376,100"
2022-04-18T18:30:00.000Z,"16,958.65",-1.25,-1.28,"401,400"
2022-04-19T18:30:00.000Z,"17,136.55",1.05,1.02,"286,100"
2022-04-20T18:30:00.000Z,"17,392.60",1.49,1.47,"285,200"
2022-04-21T18:30:00.000Z,"17,171.95",-1.27,-1.29,"262,700"
2022-04-24T18:30:00.000Z,"16,953.95",-1.27,-1.29,"275,700"
2022-04-25T18:30:00.000Z,"17,200.80",1.46,1.43,"261,100"
2022-04-26T18:30:00.000Z,"17,038.40",-0.94,-0.97,"265,100"
2022-04-27T18:30:00.000Z,"17,245.05",1.21,1.19,"312,900"
2022-04-28T18:30:00.000Z,"17,102.55",-0.83,-0.85,"336,200"
2022-05-01T18:30:00.000Z,"17,069.10",-0.2,-0.22,"278,200"
2022-05-03T18:30:00.000Z,"16,677.60",-2.29,-2.32,"310,600"
2022-05-04T18:30:00.000Z,"16,682.65",0.03,0.01,"265,800"
2022-05-05T18:30:00.000Z,"16,411.25",-1.63,-1.65,"300,500"
2022-05-08T18:30:00.000Z,"16,301.85",-0.67,-0.69,"288,400"
2022-05-09T18:30:00.000Z,"16,240.05",-0.38,-0.4,"283,100"
2022-05-10T18:30:00.000Z,"16,167.10",-0.45,-0.47,"284,300"
2022-05-11T18:30:00.000Z,"15,808.00",-2.22,-2.25,"314,900"
2022-05-12T18:30:00.000Z,"15,782.15",-0.16,-0.19,"369,100"
2022-05-15T18:30:00.000Z,"15,842.30",0.38,0.36,"217,600"
2022-05-16T18:30:00.000Z,"16,259.30",2.63,2.61,"295,700"
2022-05-17T18:30:00.000Z,"16,240.30",-0.12,-0.14,"290,400"
2022-05-18T18:30:00.000Z,"15,809.40",-2.65,-2.68,"313,900"
2022-05-19T18:30:00.000Z,"16,266.15",2.89,2.86,"252,400"
2022-05-22T18:30:00.000Z,"16,214.70",-0.32,-0.34,"293,800"
2022-05-23T18:30:00.000Z,"16,125.15",-0.55,-0.58,"249,800"
2022-05-24T18:30:00.000Z,"16,025.80",-0.62,-0.64,"243,300"
2022-05-25T18:30:00.000Z,"16,170.15",0.9,0.88,"314,300"
2022-05-26T18:30:00.000Z,"16,352.45",1.13,1.1,"274,100"
2022-05-29T18:30:00.000Z,"16,661.40",1.89,1.86,"251,400"
2022-05-30T18:30:00.000Z,"16,584.55",-0.46,-0.49,"651,600"
2022-05-31T18:30:00.000Z,"16,522.75",-0.37,-0.4,"249,600"
2022-06-01T18:30:00.000Z,"16,628.00",0.64,0.61,"236,000"
2022-06-02T18:30:00.000Z,"16,584.30",-0.26,-0.29,"245,500"
2022-06-05T18:30:00.000Z,"16,569.55",-0.09,-0.11,"233,600"
2022-06-06T18:30:00.000Z,"16,416.35",-0.92,-0.95,"233,800"
2022-06-07T18:30:00.000Z,"16,356.25",-0.37,-0.39,"243,500"
2022-06-08T18:30:00.000Z,"16,478.10",0.74,0.72,"205,000"
2022-06-09T18:30:00.000Z,"16,201.80",-1.68,-1.7,"189,700"
2022-06-12T18:30:00.000Z,"15,774.40",-2.64,-2.66,"225,500"
2022-06-13T18:30:00.000Z,"15,732.10",-0.27,-0.29,"225,400"
2022-06-14T18:30:00.000Z,"15,692.15",-0.25,-0.28,"183,000"
2022-06-15T18:30:00.000Z,"15,360.60",-2.11,-2.14,"264,700"
2022-06-16T18:30:00.000Z,"15,293.50",-0.44,-0.46,"342,600"
2022-06-19T18:30:00.000Z,"15,350.15",0.37,0.35,"260,000"
